i,j,shared_len
1,97,7.0710678118654755
2,1238,51.623638023310214
2,377,0
3,1382,0
3,320,46.87216658103186
4,793,39.802801433650785
4,732,49.26202451429557
4,608,52.26033038590803
4,572,0
4,1245,0
5,1034,56.64881729129602
5,1191,0
6,837,44.94441010848846
7,1176,70.94403386631554
7,1306,15.09194563047315
7,914,0
8,994,28.071337695236398
8,1202,0
8,1127,0
9,1237,0
9,1408,45.880278987817846
10,3,91.48223871331527
10,120,0
10,1300,0
11,1615,60.57457394570442
11,1443,7.457746532899579
11,1403,114.10170175221438
11,1111,16.414168631025888
11,1218,0
11,801,150.59232253827224
11,1506,2.04743169886187
12,1473,21.531543726480535
12,701,26.67243718971465
13,111,92.47702417357513
13,250,0
14,597,18.9643967274068
14,929,23.11663021600115
14,832,4.776366561010764
14,1092,45.18757089482345
15,1346,51.10772935672256
15,673,29.391676225648673
15,1447,0
15,760,4.813588202724284
15,64,0
16,1490,53.0681496566865
16,159,2.359798185663299
16,1489,0
17,283,2
17,168,3.6780242999583
18,910,25.96150997149434
18,206,0
18,1375,0
19,190,32.854900795146925
19,1281,0
20,392,38.76657677337409
20,1418,32.14638392747459
20,1265,12.789365933772487
21,1323,3.4270554838288816
21,1458,76.53757247260981
21,295,0
22,240,82.00609733428362
23,251,0
23,1084,45.88027898781785
24,233,0
24,90,72.24956747275377
25,329,0
25,841,194.00080173429694
26,1600,12.036961674875377
26,1598,4.71805860935983
26,1594,0
26,953,0
26,804,0
27,136,76.92203845452875
27,313,0
27,126,0
27,209,3.6629542120990846
28,1483,72.45538682578002
28,852,17.261614716221303
28,1481,0.14381681840651445
28,1486,25.017145007334445
29,1122,32.93164370542762
29,47,0
29,33,6.058008532252906
29,1211,31.4072262047354
29,212,0
30,1362,98.64919646817113
30,1609,0.0010590350118568073
31,1379,0
31,1588,29.614175968774973
31,1648,4.741718188807766
31,1647,4.447633979468176
31,1627,7.584878601846877
31,1628,0
32,1107,33.06055050963308
33,767,6.463091919828577
33,540,9.429576663115135
33,813,7.323933369413517
33,812,10.100780413596107
33,818,7.192405793397807
34,324,34.438350715445125
35,180,211.92878898349582
35,214,0
36,332,0
36,1357,70.0892199443169
36,1396,0
36,684,29.491008345001696
38,450,0
38,987,31.83442929073963
38,1403,0.005064847800339411
39,1464,35.01380042510907
39,1016,0
39,561,13.006949151199228
39,811,13.235802642119221
40,937,0
40,39,108.24047302187847
40,120,0
41,970,62.53627437891589
41,1420,0
41,1304,0
41,1369,19.197390038620405
42,1609,43.99028295941228
42,1362,0
42,865,12.337264008064516
42,874,15.415336032781964
43,1009,0
43,587,11.680532622101122
43,632,5.922315365679232
43,391,18.360042472610182
43,428,0
44,1296,108.93114238248924
44,1165,4.470185800390993
44,1272,48.27645236182366
44,1427,9.957235861161951
44,1315,42.371089631970996
44,904,28.093099648645314
44,1138,23.67199568598576
44,1228,10.291472029371898
44,115,0.0020784530973033156
45,572,46.75605286061699
45,733,13.36182622252272
45,647,2.827377989540113
45,794,15.874573118813206
45,631,27.09454379270481
45,790,15.536824373363608
45,694,23.846069965471916
45,751,9.072127129680329
46,1331,78.31347265956222
46,1592,0
47,394,62.00871138938654
47,372,46.40722575918312
47,142,0
48,1038,0
48,67,9.742737319545238
48,265,0
48,574,16.35389325759848
48,1158,21.735099000135918
49,1542,0
49,1566,0
49,697,8.450429847852291
49,622,18.574051854569305
49,769,12.485215060814905
49,730,4.027304306130446
50,115,0
50,567,11.231899917445268
50,1446,24.90420926448295
50,740,53.29252965968267
50,1621,94.02746752388497
50,1227,67.88739058778756
50,924,0
51,303,6.5454331497290115
51,1074,0
51,71,6.885231932263747
52,1324,4.21637021357011
52,1282,18.973665961010276
53,1190,42.965367448672225
53,1229,0
53,750,6.009903396844248
53,519,4.136984677064895
53,789,6.203026015171329
53,571,10.306632577976913
53,551,4.257048895718503
53,550,5.6888604170542205
53,679,14.66218610541058
53,731,10.794768651419982
53,661,32.079192515152776
53,7,0
54,1383,54.90076963063708
55,82,0
55,1064,32.88903233043218
55,1440,16.190260044426797
55,87,7.904114369975559
55,261,14.22074107162235
55,658,0
56,685,0
56,159,0
56,200,0
56,1490,0.003718385778065941
57,1612,33.07318852911888
57,363,30.557298667587595
57,437,64.06557630264003
57,486,37.06863903737572
57,438,0
58,1233,3.651561947831529
58,1611,0
58,808,50.62604008293087
58,593,52.58419638179745
58,539,7.594703842120363
58,652,18.762251136890985
58,835,20.480023305019156
59,175,109.89540481748998
60,1464,0
60,1016,72.43835110990071
60,561,0
61,1499,58.54912467321779
61,1498,0
61,299,11.579789043768825
62,1126,143.52346848003003
62,165,0
63,910,0
63,206,57.28001396647874
63,1377,0
64,1279,29.507802057899873
64,274,0
64,1134,18.998251532559294
